method,seed,selection_split,episode,eval_mean,eval_std,profit_mean,revenue_mean,deg_cost_mean
step4,41,train_full,3000,15.141272723227448,8.2144642358284,1514.1272723227448,4025.688380723484,2511.5611084007396
step4,97,train_full,200,14.24867858604324,7.17892201471222,1424.867858604324,3437.4706902581984,2012.6028316538745
step4,97,train_full,400,14.306041508634816,7.595441824546326,1430.6041508634817,3692.284458166091,2261.6803073026094
step4,97,train_full,600,14.826800373741587,7.829392844184988,1482.680037374159,3857.3278015817395,2374.6477642075815
step4,97,train_full,800,14.780351920180673,7.795954273657075,1478.0351920180672,3717.8745900177114,2239.839397999644
step4,97,train_full,1000,14.801554946562451,7.800059209619727,1480.155494656245,3728.409285663955,2248.25379100771
step4,97,train_full,1200,15.004514181257859,7.864490088925686,1500.451418125786,3712.411242042887,2211.9598239171014
step4,97,train_full,1400,15.27692167537878,8.144995849278324,1527.692167537878,3967.4461042138214,2439.7539366759434
step4,97,train_full,1600,15.273811893845334,7.936983217142617,1527.3811893845339,3847.2651455822393,2319.8839561977047
step4,97,train_full,1800,15.239721512716736,7.853453162269715,1523.9721512716737,3737.0811609896223,2213.109009717948
step4,97,train_full,2000,15.257698358302864,7.956193588692756,1525.7698358302864,3806.9140556072066,2281.1442197769197
step4,97,train_full,2200,15.203960951877,8.058401996955475,1520.3960951877002,3824.096047938225,2303.6999527505254
step4,97,train_full,2400,15.240436368405415,8.15270025227158,1524.0436368405417,3935.4694654618934,2411.4258286213517
step4,97,train_full,2600,15.115088662041861,7.795506009673561,1511.508866204186,3688.6760420079095,2177.1671758037237
step4,97,train_full,2800,15.152688483832412,8.026338875332089,1515.2688483832412,3919.3241083954476,2404.055260012206
step4,97,train_full,3000,15.037125093276382,8.097601135991354,1503.7125093276384,3991.0147694589928,2487.302260131355
